date,temp,shidu
2019/1/1 0:00,-3,40
2019/1/1 1:00,-5,46
2019/1/1 2:00,-6,56
2019/1/1 3:00,-5,53
2019/1/1 4:00,-4,43
2019/1/1 5:00,-5,46
2019/1/1 6:00,-6,43
2019/1/1 7:00,-6,42
2019/1/1 8:00,-5,39
2019/1/1 9:00,-3,31
2019/1/1 10:00,0,22
2019/1/1 11:00,0,19
2019/1/1 12:00,1,18
2019/1/1 13:00,3,16
2019/1/1 14:00,4,14
2019/1/1 15:00,4,14
2019/1/1 16:00,3,16
2019/1/1 17:00,1,19
2019/1/1 18:00,0,27
2019/1/1 19:00,-3,44
2019/1/1 20:00,-4,47
2019/1/1 21:00,-5,44
2019/1/1 22:00,-4,48
2019/1/1 23:00,-2,59
2019/1/2 0:00,-2,61
2019/1/2 1:00,-5,68
2019/1/2 2:00,-6,66
2019/1/2 3:00,-5,53
2019/1/2 4:00,-5,54
2019/1/2 5:00,-5,54
2019/1/2 6:00,-5,52
2019/1/2 7:00,-4,52
2019/1/2 8:00,-4,50
2019/1/2 9:00,-3,46
2019/1/2 10:00,-1,40
2019/1/2 11:00,0,27
2019/1/2 12:00,1,24
2019/1/2 13:00,2,19
2019/1/2 14:00,2,19
2019/1/2 15:00,2,19
2019/1/2 16:00,2,19
2019/1/2 17:00,1,19
2019/1/2 18:00,0,20
2019/1/2 19:00,0,19
2019/1/2 20:00,0,16
2019/1/2 21:00,0,17
2019/1/2 22:00,-1,18
2019/1/2 23:00,-1,19
2019/1/3 0:00,-2,21
2019/1/3 1:00,-2,22
2019/1/3 2:00,-3,23
2019/1/3 3:00,-3,24
2019/1/3 4:00,-4,26
2019/1/3 5:00,-4,27
2019/1/3 6:00,-5,28
2019/1/3 7:00,-4,26
2019/1/3 8:00,-4,25
2019/1/3 9:00,-3,22
2019/1/3 10:00,-2,19
2019/1/3 11:00,-1,18
2019/1/3 12:00,-1,17
2019/1/3 13:00,0,15
2019/1/3 14:00,0,14
2019/1/3 15:00,1,14
2019/1/3 16:00,0,15
2019/1/3 17:00,0,17
2019/1/3 18:00,-1,18
2019/1/3 19:00,-1,20
2019/1/3 20:00,-1,20
2019/1/3 21:00,-2,21
