date,temp,shidu
2019/1/1 0:00,11.9,52
2019/1/1 1:00,11.8,53
2019/1/1 2:00,11.5,53
2019/1/1 3:00,12.1,50
2019/1/1 4:00,12.9,47
2019/1/1 5:00,10.8,58
2019/1/1 6:00,11,55
2019/1/1 7:00,10.6,56
2019/1/1 8:00,9.5,68
2019/1/1 9:00,13.5,53
2019/1/1 10:00,15.7,42
2019/1/1 11:00,16.7,32
2019/1/1 12:00,17.9,31
2019/1/1 13:00,19.1,27
2019/1/1 14:00,20.3,27
2019/1/1 15:00,19.8,25
2019/1/1 16:00,19.2,26
2019/1/1 17:00,17.8,29
2019/1/1 18:00,14.3,48
2019/1/1 19:00,11.4,65
2019/1/1 20:00,10.6,68
2019/1/1 21:00,12,52
2019/1/1 22:00,10,60
2019/1/1 23:00,11.1,49
2019/1/2 0:00,9.6,56
2019/1/2 1:00,8.3,66
2019/1/2 2:00,8.1,66
2019/1/2 3:00,6.8,74
2019/1/2 4:00,6.4,79
2019/1/2 5:00,6.1,79
2019/1/2 6:00,7.8,57
2019/1/2 7:00,7.4,57
2019/1/2 8:00,9,47
2019/1/2 9:00,11.5,39
2019/1/2 10:00,13.7,36
2019/1/2 11:00,15.3,28
2019/1/2 12:00,17,26
2019/1/2 13:00,18.1,26
2019/1/2 14:00,19.3,23
2019/1/2 15:00,19.6,24
2019/1/2 16:00,19.8,23
2019/1/2 17:00,18.8,26
2019/1/2 18:00,14.4,53
2019/1/2 19:00,11.6,73
2019/1/2 20:00,10.1,80
2019/1/2 21:00,9.2,85
2019/1/2 22:00,8.6,86
2019/1/2 23:00,8,87
2019/1/3 0:00,7.7,91
2019/1/3 1:00,7.4,92
2019/1/3 2:00,7,93
2019/1/3 3:00,6.9,94
2019/1/3 4:00,6.9,94
2019/1/3 5:00,6.7,95
2019/1/3 6:00,6.8,95
2019/1/3 7:00,6.5,96
2019/1/3 8:00,7.2,96
2019/1/3 9:00,10.1,95
2019/1/3 10:00,14.2,70
2019/1/3 11:00,16.3,52
2019/1/3 12:00,17.7,47
2019/1/3 13:00,19.1,39
2019/1/3 14:00,20.3,35
2019/1/3 15:00,20.9,31
2019/1/3 16:00,20.6,32
2019/1/3 17:00,19.9,34
2019/1/3 18:00,15.8,58
2019/1/3 19:00,12.6,77
2019/1/3 20:00,11.1,85
2019/1/3 21:00,10.3,88
2019/1/3 22:00,9.7,89
2019/1/3 23:00,9.4,90
2019/1/4 0:00,9,92
2019/1/4 1:00,8.7,93
2019/1/4 2:00,8.5,94
2019/1/4 3:00,8.4,94
2019/1/4 4:00,8.2,95
2019/1/4 5:00,8,95
2019/1/4 6:00,7.8,95
2019/1/4 7:00,7.7,96
2019/1/4 8:00,8.4,96
2019/1/4 9:00,11.5,91
2019/1/4 10:00,14.7,70
2019/1/4 11:00,16.9,60
2019/1/4 12:00,19.4,49
2019/1/4 13:00,21.1,47
2019/1/4 14:00,21,47
2019/1/4 15:00,21.2,52
2019/1/4 16:00,21.4,55
2019/1/4 17:00,20.4,60
2019/1/4 18:00,19,67
2019/1/4 19:00,16.8,80
2019/1/4 20:00,16.4,82
2019/1/4 21:00,16.4,84
2019/1/4 22:00,17,81
2019/1/4 23:00,16.9,81
2019/1/5 0:00,16.5,84
2019/1/5 1:00,16,87
2019/1/5 2:00,16,88
2019/1/5 3:00,15.9,88
2019/1/5 4:00,16,88
2019/1/5 5:00,16.6,82
2019/1/5 6:00,16.6,81
2019/1/5 7:00,16.6,81
2019/1/5 8:00,16.7,82
2019/1/5 9:00,17.6,79
2019/1/5 10:00,18.5,77
2019/1/5 11:00,19.2,76
2019/1/5 12:00,20.4,73
2019/1/5 13:00,21.4,70
2019/1/5 14:00,21.8,71
2019/1/5 15:00,22.3,69
2019/1/5 16:00,22,71
2019/1/5 17:00,21.6,75
2019/1/5 18:00,20.6,80
2019/1/5 19:00,19.8,85
2019/1/5 20:00,19.4,87
2019/1/5 21:00,19,90
2019/1/5 22:00,18.8,92
2019/1/5 23:00,18.7,93
2019/1/6 0:00,18.6,94
2019/1/6 1:00,18.5,94
2019/1/6 2:00,18.3,94
2019/1/6 3:00,18.2,95
2019/1/6 4:00,18.1,95
2019/1/6 5:00,18,95
2019/1/6 6:00,18,95
2019/1/6 7:00,17.9,100
2019/1/6 8:00,18,98
2019/1/6 9:00,18.5,97
2019/1/6 10:00,19.7,92
2019/1/6 11:00,20.3,87
2019/1/6 12:00,22.2,77
2019/1/6 13:00,23.2,72
2019/1/6 14:00,23.3,69
2019/1/6 15:00,24.4,62
2019/1/6 16:00,24.3,61
2019/1/6 17:00,23.4,67
2019/1/6 18:00,21.3,81
2019/1/6 19:00,20.2,86
2019/1/6 20:00,19.5,88
2019/1/6 21:00,18.6,91
2019/1/6 22:00,17.7,93
2019/1/6 23:00,18.2,88
2019/1/7 0:00,17.2,84
2019/1/7 1:00,16.2,81
2019/1/7 2:00,15.6,81
2019/1/7 3:00,15.2,78
2019/1/7 4:00,14.3,77
2019/1/7 5:00,13.8,77
2019/1/7 6:00,14,79
2019/1/7 7:00,14.1,76
2019/1/7 8:00,13.9,76
2019/1/7 9:00,14.2,75
2019/1/7 10:00,14.1,75
2019/1/7 11:00,14.6,73
2019/1/7 12:00,14.5,70
2019/1/7 13:00,13.8,71
2019/1/7 14:00,13.9,71
2019/1/7 15:00,14.1,70
2019/1/7 16:00,14.4,67
2019/1/7 17:00,13.8,67
2019/1/7 18:00,13.2,68
2019/1/7 19:00,12.9,66
2019/1/7 20:00,12.5,67
2019/1/7 21:00,12.1,68
2019/1/7 22:00,11.9,66
2019/1/7 23:00,11.7,66
2019/1/8 0:00,10.8,69
2019/1/8 1:00,10.8,68
2019/1/8 2:00,10.3,70
2019/1/8 3:00,9.7,71
2019/1/8 4:00,9.4,69
2019/1/8 5:00,8.7,72
2019/1/8 6:00,8,77
2019/1/8 7:00,7.8,76
2019/1/8 8:00,8.3,76
2019/1/8 9:00,11,63
2019/1/8 10:00,12,55
2019/1/8 11:00,13.9,48
2019/1/8 12:00,15.2,43
2019/1/8 13:00,15.9,38
2019/1/8 14:00,17,37
2019/1/8 15:00,17.5,32
2019/1/8 16:00,17.7,32
2019/1/8 17:00,17.2,34
2019/1/8 18:00,14.3,52
2019/1/8 19:00,11.5,72
2019/1/8 20:00,10.6,75
2019/1/8 21:00,10.2,73
2019/1/8 22:00,11.2,61
2019/1/8 23:00,10.6,64
2019/1/9 0:00,8.9,77
2019/1/9 1:00,8.4,83
2019/1/9 2:00,8.5,80
2019/1/9 3:00,8.6,80
2019/1/9 4:00,9.3,73
2019/1/9 5:00,9,76
2019/1/9 6:00,9.9,63
2019/1/9 7:00,9.7,63
2019/1/9 8:00,9.7,67
2019/1/9 9:00,11.4,59
2019/1/9 10:00,12.8,54
2019/1/9 11:00,14,50
2019/1/9 12:00,14.3,48
2019/1/9 13:00,15.8,44
2019/1/9 14:00,16.7,40
2019/1/9 15:00,17.3,41
2019/1/9 16:00,16.3,43
2019/1/9 17:00,16.7,41
2019/1/9 18:00,14.1,58
2019/1/9 19:00,11.8,75
2019/1/9 20:00,11.9,75
2019/1/9 21:00,11,78
2019/1/9 22:00,9.8,82
2019/1/9 23:00,10.6,73
2019/1/10 0:00,10,77
2019/1/10 1:00,10.1,78
2019/1/10 2:00,10.2,80
2019/1/10 3:00,10.1,81
2019/1/10 4:00,10.4,80
2019/1/10 5:00,10.9,74
2019/1/10 6:00,10.6,82
2019/1/10 7:00,10.1,81
2019/1/10 8:00,11.6,61
2019/1/10 9:00,13.5,53
2019/1/10 10:00,15.7,44
2019/1/10 11:00,16.6,41
2019/1/10 12:00,17.7,40
2019/1/10 13:00,18.7,35
2019/1/10 14:00,19.5,34
2019/1/10 15:00,19.4,33
2019/1/10 16:00,18.9,36
2019/1/10 17:00,17.4,35
2019/1/10 18:00,15.4,40
2019/1/10 19:00,14.4,45
2019/1/10 20:00,13.9,46
2019/1/10 21:00,13.3,49
2019/1/10 22:00,12.5,54
2019/1/10 23:00,12.1,58
2019/1/11 0:00,11.6,62
2019/1/11 1:00,10.2,76
2019/1/11 2:00,9.6,81
2019/1/11 3:00,9.9,77
2019/1/11 4:00,9.7,79
2019/1/11 5:00,9.6,79
2019/1/11 6:00,9.4,82
2019/1/11 7:00,9.5,84
2019/1/11 8:00,9.6,86
2019/1/11 9:00,10.7,79
2019/1/11 10:00,11.7,71
2019/1/11 11:00,13.4,64
2019/1/11 12:00,14.9,57
2019/1/11 13:00,15.7,57
2019/1/11 14:00,15.7,56
2019/1/11 15:00,16.1,54
2019/1/11 16:00,14.8,57
2019/1/11 17:00,14.1,61
2019/1/11 18:00,12.7,72
2019/1/11 19:00,11.9,79
2019/1/11 20:00,11.9,79
2019/1/11 21:00,11.9,78
2019/1/11 22:00,11.9,78
2019/1/11 23:00,11.3,86
2019/1/12 0:00,11.2,86
2019/1/12 1:00,11.1,86
2019/1/12 2:00,10.7,89
2019/1/12 3:00,10.3,91
2019/1/12 4:00,10,93
2019/1/12 5:00,9.9,94
2019/1/12 6:00,9.7,94
2019/1/12 7:00,9.7,95
2019/1/12 8:00,10,94
2019/1/12 9:00,10.6,93
2019/1/12 10:00,10.6,93
2019/1/12 11:00,10.2,94
2019/1/12 12:00,9.8,94
2019/1/12 13:00,9.8,94
2019/1/12 14:00,9.8,94
2019/1/12 15:00,10.1,94
2019/1/12 16:00,10.3,94
2019/1/12 17:00,10.4,94
2019/1/12 18:00,10.4,94
2019/1/12 19:00,10.4,95
2019/1/12 20:00,10.5,95
2019/1/12 21:00,10.5,95
2019/1/12 22:00,10.4,95
2019/1/12 23:00,10.3,95
2019/1/13 0:00,10.2,95
2019/1/13 1:00,10.1,95
2019/1/13 2:00,9.9,95
2019/1/13 3:00,9.7,95
2019/1/13 4:00,9.5,95
2019/1/13 5:00,9.5,95
2019/1/13 6:00,9.4,95
2019/1/13 7:00,9.5,94
2019/1/13 8:00,9.6,94
